Set Name,Set Code,Release Date,Total Cards,Pack Name,Card Name,Card Number,Rarity
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Sandile,39,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Krokorok,40,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Krookodile,41,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Nihilego,42,Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Guzzlord ex,43,Ultra Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Poipole,44,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Naganadel,45,Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Alolan Diglett,46,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Alolan Dugtrio ex,47,Ultra Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Aron,48,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Lairon,49,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Aggron,50,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Ferroseed,51,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Ferrothorn,52,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Stakataka,53,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Lillipup,54,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Herdier,55,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Stoutland,56,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Stufful,57,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Bewear,58,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Oranguru,59,Common
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Type: Null,60,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Silvally,61,Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Celesteela,62,Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Beast Wall,63,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Repel,64,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Electrical Cord,65,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Beastite,66,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Gladion,67,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Looker,68,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Lusamine,69,Uncommon
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Rowlet,70,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Pheromosa,71,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Blacephalon,72,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Alolan Meowth,73,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Silvally,74,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Celesteela,75,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Buzzwole ex,76,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Tapu Koko ex,77,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Lycanroc ex,78,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Guzzlord ex,79,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Alolan Dugtrio ex,80,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Gladion,81,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Looker,82,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Lusamine,83,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Tapu Koko ex,84,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Lycanroc ex,85,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Guzzlord ex,86,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Alolan Dugtrio ex,87,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Buzzwole ex,88,Triple Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Growlithe,89,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Arcanine,90,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Froakie,91,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Frogadier,92,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Greninja,93,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Jynx,94,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Pidgey,95,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Pidgeotto,96,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Pidgeot,97,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Aerodactyl,98,Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Celebi ex,99,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Arcanine ex,100,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Aerodactyl ex,101,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Pidgeot ex,102,Double Star Rare
Extradimensional Crisis,A3a,29th May 2025,103,Extradimensional Crisis,Nihilego,103,Crown Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Exeggcute,1,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Exeggutor,2,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Surskit,3,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Masquerain,4,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Maractus,5,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Karrablast,6,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Rowlet,10,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Dartrix,11,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Decidueye ex,12,Ultra Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Grubbin,13,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Fomantis,14,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Lurantis,15,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Morelull,16,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Shiinotic,17,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Growlithe,25,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Arcanine,26,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Marowak,27,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Litten,31,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Oricorio,34,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Salandit,35,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Salazzle,36,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Turtonator,37,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Sandshrew,38,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Sandslash,39,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Vulpix,40,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Ninetales,41,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Lapras,44,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Popplio,45,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Brionne,47,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Primarina,48,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Wishiwashi,50,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Wishiwashi ex,51,Ultra Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Pyukumuku,54,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Bruxish,55,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Tapu Fini,56,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Helioptile,62,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Heliolisk,63,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Charjabug,64,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Vikavolt,65,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Togedemaru,67,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Sableye,70,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Spoink,71,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Grumpig,72,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Lunatone,73,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Shuppet,74,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Banette,75,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Oricorio,77,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Mimikyu,83,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Tapu Lele,84,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Cosmog,85,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Cosmoem,86,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Lunala ex,87,Ultra Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Necrozma,88,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Cubone,89,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Makuhita,90,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Hariyama,91,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Drilbur,93,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Timburr,94,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Gurdurr,95,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Conkeldurr,96,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Rockruff,98,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Lycanroc,101,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Passimian ex,104,Ultra Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Minior,105,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Rattata,106,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Raticate,107,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Grimer,110,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Muk ex,111,Ultra Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Absol,112,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Trubbish,113,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Garbodor,114,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Mareanie,115,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Toxapex,116,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Diglett,117,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Dugtrio,118,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Excadrill,119,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Escavalier,120,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Jangmo-o,125,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Hakamo-o,126,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Kommo-o,127,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Tauros,128,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Skitty,129,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Delcatty,130,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Pikipek,133,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Trumbeak,134,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Toucannon,135,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Stufful,138,Common
Celestial Guardians,A3,30th April 2025,239,Lunala,Bewear,139,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Oranguru,140,Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Big Malasada,142,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Fishing Net,143,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Rare Candy,144,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Poison Barb,146,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Acerola,148,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Ilima,149,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Kiawe,150,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Guzma,151,Uncommon
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Exeggutor,156,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Morelull,157,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Marowak,160,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Turtonator,161,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Vulpix,162,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Pyukumuku,163,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Tapu Fini,164,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Tapu Lele,170,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Cosmog,171,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Minior,174,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Pikipek,177,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Bewear,178,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Decidueye ex,180,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Wishiwashi ex,184,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Lunala ex,186,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Passimian ex,187,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Muk ex,188,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Acerola,190,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Ilima,191,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Kiawe,192,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Guzma,193,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Decidueye ex,198,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Wishiwashi ex,202,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Lunala ex,204,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Passimian ex,205,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Alolan Muk ex,206,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Guzma,208,Triple Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Exeggcute,213,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Exeggutor,214,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Squirtle,215,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Wartortle,216,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Blastoise,217,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Gastly,220,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Haunter,221,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Gengar,222,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Cubone,226,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Marowak,227,Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Exeggutor ex,231,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Blastoise ex,232,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Gengar ex,234,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Marowak ex,236,Double Star Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Lunala ex,238,Crown Rare
Celestial Guardians,A3,30th April 2025,239,Lunala,Solgaleo ex,239,Crown Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Surskit,3,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Masquerain,4,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Karrablast,6,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Phantump,7,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Trevenant,8,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Rowlet,9,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Fomantis,14,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Lurantis,15,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Bounsweet,18,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Steenee,19,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Tsareena,20,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Wimpod,21,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Golisopod,22,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Dhelmise ex,23,Ultra Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Tapu Bulu,24,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Growlithe,25,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Arcanine,26,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Fletchinder,28,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Talonflame,29,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Litten,30,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Torracat,32,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Incineroar ex,33,Ultra Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Salandit,35,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Salazzle,36,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Alolan Sandshrew,38,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Alolan Sandslash,39,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Shellder,42,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Cloyster,43,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Lapras,44,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Popplio,46,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Crabominable ex,49,Ultra Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Dewpider,52,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Araquanid,53,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Bruxish,55,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Pikachu,57,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Alolan Raichu ex,58,Ultra Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Alolan Geodude,59,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Alolan Graveler,60,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Alolan Golem,61,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Helioptile,62,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Heliolisk,63,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Oricorio,66,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Tapu Koko,68,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Mr. Mime,69,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Sableye,70,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Spoink,71,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Grumpig,72,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Shuppet,74,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Banette,75,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Oricorio,76,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Cutiefly,78,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Ribombee,79,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Comfey,80,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Sandygast,81,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Palossand,82,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Cosmog,85,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Cosmoem,86,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Makuhita,90,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Hariyama,91,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Solrock,92,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Drilbur,93,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Crabrawler,97,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Rockruff,99,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Lycanroc,100,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Mudbray,102,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Mudsdale,103,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Alolan Meowth,108,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Alolan Persian,109,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Trubbish,113,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Garbodor,114,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Alolan Diglett,117,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Alolan Dugtrio,118,Common
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Excadrill,119,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Escavalier,120,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Klefki,121,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Solgaleo ex,122,Ultra Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Magearna,123,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Drampa,124,Rare
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Tauros,128,Uncommon
Celestial Guardians,A3,30th April 2025,239,Solgaleo,Skitty,129,Common
